用户名,时间,内容,点赞量,sentiment,sentiment_class
千鹤弥天,2024/1/10 20:14,"国际政治教科书的第一页就是，不要用人类的道德标准看国际政治，国际政治只有纯粹的利益关系。
即使是巴铁，也是站在过美国一侧的，只不过美国后来偏向印度所以巴铁才彻底倒向我们。现在巴铁的铁以及我国的援助也是建立在应对印度威胁的大前提下的。但是话说回来，因为两国体量差距过大，即使印度威胁消失了巴基斯坦也大概率会成为依附关系，整体来说两国关系还是相当稳定的🤔",524,1,非常积极
了取昵称,2024/1/30 23:18,我更赞成你的说法。不过这是政治上的，人民之间在政治正常的时候的交流，还是不要代入政治比较好，尽可能保留人性的美好一面。,54,0.999240166,非常积极
不止废话,2024/1/23 11:25,正是深知这份现实，才对这份独特情感异常珍惜。,14,0.999971669,非常积极
涂鸦君装狗,2024/1/10 17:31,"这是我看过关于巴基斯坦最优质和最有营养的自媒视频。
一些自媒刻意去强调中巴明显的生活差距，对巴女性的物化和巴对中国人的仰慕优待，从而达到让某些中国人麻木地沉浸在虚无的优越感之中，同时转化成流量。那种无营养的视频只会加深对中巴关系不准确的固化印象，也会让观众离真正的中巴关系和现实状况越来越远。",420,1,非常积极
无聊的升,2024/1/6 9:18,总结的很客观真实！！！看得出来up的努力，真的对这种经过思考的视频无法扺抗！可惜的是这种有营养的视频在当今浮躁的社会反而没有流量，能竖持看完视频的估计也比较少！但我就是可以坚持看完还能够被感动的其中一个，我为自己感到骄傲！感谢up！！！！,681,0.99997947,非常积极
暴走兄弟,2024/1/7 22:47,谢谢,18,0.596566524,中立
袁梓芊,2024/1/8 22:40,回复 @暴走兄弟 : 看完了，来个赞,4,0.93262202,非常积极
阿咯诶BILI,2024/1/19 13:49,没错，现在非黑即白喊口号的短视频到处传播.. 真的恐怖,2,0.415472086,中立
白水俗人9527,2024/1/10 13:23,我在新疆兵团，是第三代。直到大约几年前，我们种地才不用上缴。你理解上缴吧，带着恶意的说就是你吃不吃饭不重要，但是粮食优先支援国家。但要是不带恶意的说，肯定不会让你吃不上饭，只是有时候天灾让你一年可能负债，明年继续生存努力干好。有点夸张，但往前几十年甚至一代，都是这样。是不是感觉有点惨？但退休一个月基本在3000以上。小城镇建设超过大多数地方，果树棉花和技术扶持，水利电价又让你觉得在这养老挺美。比我去内地看到到的大多数农村好太多。有利有弊，一代付出下一代受益，不知不觉就超过很多地方。,43,0.999999976,非常积极
小手做设计,2024/1/21 5:47,分时间段的，那个时候是国家真的困难，现在国家好了肯定会有优待的，我们南方这边都开始修建文化室以及健身场地。我们这边都是农村的，我们外婆家的公园都修好了,8,0.995019203,非常积极
失落随心,2024/4/28 20:20,大概也就是17-19年开始的政策,0,0.633571324,较为积极
小窦不是小豆,2024/1/8 14:02,"一个普通国民去到一个完全陌生的他国，能受到礼遇说明当地人善良热情，但是能受到超过国民级的待遇，甚至只对我们这样，对其他国家不一样。只说明了我们政府在后面付出的努力更不一般。
你去到别人家里，别人对你热情到极点，对其他家的小孩冷淡无比，只能说你们家大人厉害，而且关系好，而不是他们本来多热情。",676,0.954139619,非常积极
Aaaagggd,2024/1/10 12:30,这视频标题就很有误导性，属于“营销号”操作了。巴基斯坦仅限于隶属政府当局的公职人员有可信度；民间看似热情，有国人被这种假象给忽悠了，对巴基斯坦人疏于防范，导致“翻车”,50,0.986595718,非常积极
