用户名,时间,内容,点赞量
关关观关山,2021-05-21 17:26,之前看到一个韩国女人在巴基斯坦装中国人，因为餐厅对中国人免单，她就因此逃单。老板吃亏后也明白了她不是中国人，他说，一般中国人都会很谦虚，虽然餐厅免单，但几乎都会给钱。这个女人不仅没给钱，还这么嚣张直呼自己是中国人，那就肯定不是中国人。,8540
枸杞12,2021-05-21 17:55,就这么说吧，就那个女的的表现，她就算是中国籍也不算中国人。,670
肉包纸0417,2021-05-21 18:09,不知道你这个评论能存在多久，我刚才在楼上热评发秒被删。对了，我不止讲了偷国，还讲了霓虹一个教人穷游巴基斯坦的博主。,265
我家肖战爱窜稀,2021-05-22 09:47,回复 @肉包纸0417 :敏感词或者字数过多触发了机制罢了，某卢小说网，曾经被阅文搞到连“有的”、“一个”、“那个”都被迫列入h色敏感词库,22
神奇的隔壁阿伟,2021-05-21 16:24,每个国家都有好人也有坏人，不过看事也不能忽略宏观，美国确实有好人，但改变不了美国整体反华氛围的事实，巴基斯坦也有坏人，同样改变不了巴基斯坦整体亲华氛围的事实,10040
银庭SilverCourt,2021-05-21 16:28,分析到位,43
任我飞天,2021-05-21 16:55,每个国家都会有好人，除了……我是说，甚至包括美国,220
狮子粉小初粉,2021-05-22 00:37,回复 @任我飞天 :yes prime minister,8
枫者,2021-05-21 17:10,在哪儿看的一段子来着，巴网友发推说有韩国人冒充中国人并问怎么区分，本子那边儿的人回复“把泡菜扔地上喂狗，哈哈大笑的是中国人，跑过去和狗抢着吃的是韩国人”,6896
_你怎么这么好看,2021-05-21 17:29,好家伙这不把棒子整破防了,393
枫者,2021-05-21 17:50,回复 @信阳精神病院院长- :棒子看见又要大喊大叫了,111
回笼觉教主税易天,2021-05-22 09:50,"暗号
巴基斯坦：亲兄弟
中国人：明算账",4572
盛京徐公,2021-05-22 11:47,对 咱们就是喜欢亲兄弟明算账  不伤感情,77
z24826,2021-05-22 18:45,,6
P-dove,2021-06-21 20:48,预防日韩冒充中国人的行为,9
小李砸er,2021-05-21 17:56,说实话，我对巴基斯坦人十分有好感。我之前在圣诞节假期去布拉格玩，住的青旅旁边有家超市的老板就是巴基斯坦人，当他知道我是中国人的时候很热情，对我说了很多遍“Chinese my best friend ”就感觉很开心,3678
电波糖,2021-05-21 18:46,真好啊！我也想去巴基斯坦旅游,17
被熊猫治愈的男人,2021-05-21 20:11,中国和巴铁用事实证明在这个世界上 国与国之间是可以存在友谊的。国与国之间并不是只有利益和敌对,81
