用户名,时间,内容,点赞量
翩若峳绪川千世,2020-08-26 23:18,铁不铁再说，解放军的大炮倒是很铁,64178
暹罗罗罗罗罗罗,2020-08-26 23:20,好家伙，大炮铁不铁我不知道，导弹是真的铁,3229
为什么名字只有八个字,2020-08-27 00:06,回复 @我就是在教你做事 :26号刚刚射了俩导弹,7
阿狄安娜,2020-08-26 23:19,巴铁之所以是巴铁，是60年代后国际政治和国家战略上双方的客观需求。只要巴基斯坦与印度保持对立状态，而中印之间保持这种战略互信难以建立的背景下，巴铁的基本盘就不会改变。中巴关系可能会有曲折，但基本盘是不会变的。,20364
阿狄安娜,2020-08-26 23:35,巴基斯坦各个政党也许会有各种各样不同的态度，甚至有些将对华关系作为国内政治斗争的筹码而伤害中巴关系。但是只要巴基斯坦这个国家整体聚合的重要因素——印度还存在，那么巴基斯坦就不会与中国形成根本性的外交分歧。这与政府存续有关，与政府先进与否没有关系。应该意识到巴基斯坦这个国家所客观存在的问题，经济投资上现在来看巴基斯坦绝不是一个理想的目标。但中巴的战略互信并不建立在经济相互嵌套上，而是长期国家战略的需求。从而推动经济合作与政治改革。我们应该认识到现阶段中巴关系对我们是有利的，维护中巴关系是我们在南亚这一次要战略目标的主要战略方向之一。将巴基斯坦视为伊斯兰极端主义的滥觞是不合适的，在研究国际关系的时候应该注意这一点。,2818
立华社长美如画,2020-08-26 23:50,中巴利益一致，所以中巴很铁,317
jwbdyrbwowbeo,2020-08-26 23:50,回复 @阿狄安娜 :巴基斯坦也是有公知的,135
王化天下,2020-08-26 23:55,中印不可能有战略互信的，三哥迷之自信，加上体量确实在那儿，看不看得起我们都难说,580
韵律木木,2020-08-26 23:59,中国目前布局就是能源，减少马六甲海峡的依赖，目前中巴这边正在建设，中缅铁路也是，保障能源，还有北冰洋航线近年正在解冻，也可能成为能源通道,286
光恒eternal,2020-08-27 00:03,"的确，有共同的敌人、有共同的利益、能够达成共识，这就是中巴关系铁的本质原因。
印巴矛盾极难调和，中印关系也难以改善，中巴又没有直接的根本性利益冲突、两国合作还能共同发展。中巴可能不是永远的朋友，但未来很长一段时期内应该还是朋友。",268
斯波波比奇,2020-08-27 00:13,回复 @韵律木木 :前两个能理解 北冰洋是运什么物资的,6
我是秋天,2020-08-27 00:39,回复 @韵律木木 :感觉最多算多个选择，减少依赖都做不到吧。虽然那里可以不经过马六甲，但是从那个位置到了中国，又如何在经济效益考量下，运输到制造业发到地区。无论是管道还是火车汽车，入境后都有且只有火车转运到东中部，这运输量对中国整个体量下，基本上只能算是战略需求，但是很难做到减少马六的依赖,68
最近特别穷,2020-08-27 00:53,回复 @斯波波比奇 :北冰洋航道的解冻  我们中国到北欧的航程就会大大缩短,28
Violet-Eg,2020-08-27 01:18,回复 @立华社长美如画 :可能吧，不过我知道咱们自己家的核弹老铁了,6
